family,date,method,plan_cost_yuan,contract_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,soc_start_kwh,soc_end_kwh
Q4-2,2025-03-21,m1,24386.653812451717,24386.653812451717,1727.9878407295887,26114.641653181305,795.0890871672857,6000.0,6000.0
Q4-2,2025-03-22,m1,21845.25322112597,21845.25322112597,4323.856965053722,26169.110186179692,1474.4719823928408,6000.0,6000.0
Q4-2,2025-03-23,m1,49709.43674099057,49709.43674099057,12485.392798606194,62194.82953959676,2758.8242595821926,6000.0,6000.0
Q4-2,2025-03-24,m1,49544.05282067983,49544.05282067983,11588.31650141145,61132.36932209128,2697.52390356904,6000.0,6000.0
Q4-2,2025-03-25,m1,49801.42982058923,49801.42982058923,13482.828583017155,63284.25840360638,3147.9279375118876,6000.0,6000.0
Q4-2,2025-03-26,m1,49526.03108967186,49526.03108967186,9368.323804724438,58894.354894396296,2227.7977919836762,6000.0,6000.0
Q4-2,2025-03-27,m1,48958.38028518151,48958.38028518151,11932.795239859328,60891.17552504084,2850.093022686173,6000.0,6000.0
Q4-2,2025-03-28,m1,23896.8994486389,23896.8994486389,2489.065049349346,26385.964497988243,875.3484125820901,6000.0,6000.0
Q4-2,2025-03-29,m1,21625.235860810702,21625.235860810702,5046.324286611782,26671.560147422482,1587.064802532497,6000.0,6000.0
Q4-2,2025-03-30,m1,47504.29314829521,47504.29314829521,9902.311919086083,57406.60506738129,2345.2715164970646,6000.0,6000.0
Q4-2,2025-03-31,m1,47771.97030632669,47771.97030632669,11062.068314386257,58834.03862071295,2511.932091243617,6000.0,6000.0
Q4-2,2025-04-01,m1,47740.097486891595,47740.097486891595,12496.026617095251,60236.12410398685,2849.4389421006,6000.0,6000.0
Q4-2,2025-04-02,m1,46770.49464946319,46770.49464946319,21920.870889653794,68691.36553911699,4523.418642636237,6000.0,6000.0
Q4-2,2025-04-03,m1,48600.1661728223,48600.1661728223,12670.944160058087,61271.11033288039,2943.42923742315,6000.0,6000.0
Q4-2,2025-04-04,m1,22853.16413821958,22853.16413821958,2519.0710033565897,25372.23514157617,1008.122011390001,6000.0,6000.0
Q4-2,2025-04-05,m1,21209.904486021147,21209.904486021147,4215.997570618723,25425.90205663987,1478.7769021646668,6000.0,6000.0
Q4-2,2025-04-06,m1,46762.526659849,46762.526659849,10673.887502073005,57436.414161922,2296.88498555716,6000.0,6000.0
Q4-2,2025-04-07,m1,46684.719685332544,46684.719685332544,6854.255440615241,53538.975125947785,1693.4985392612311,6000.0,6000.0
Q4-2,2025-04-08,m1,46766.686149904766,46766.686149904766,16332.64993257248,63099.336082477246,3464.8362078598366,6000.0,6000.0
Q4-2,2025-04-09,m1,46948.48254318837,46948.48254318837,11690.353146232712,58638.83568942109,2793.960142188067,6000.0,6000.0
Q4-2,2025-04-10,m1,47195.55817360747,47195.55817360747,13522.20747660833,60717.7656502158,2956.269869915058,6000.0,6000.0
Q4-2,2025-04-11,m1,22353.646443504822,22353.646443504822,2022.0965607206194,24375.743004225442,951.4851404829894,6000.0,6000.0
Q4-2,2025-04-12,m1,20680.78918551054,20680.78918551054,3196.741245965157,23877.530431475698,1168.4771503743136,6000.0,6000.0
Q4-2,2025-04-13,m1,45569.785162843764,45569.785162843764,12633.610206475876,58203.39536931964,2725.5934008355653,6000.0,6000.0
Q4-2,2025-04-14,m1,45270.783015207475,45270.783015207475,8326.568410080548,53597.35142528803,2033.7135283308496,6000.0,6000.0
Q4-2,2025-04-15,m1,45308.933938671165,45308.933938671165,8383.897526132027,53692.831464803196,1808.8991105772936,6000.0,6000.0
Q4-2,2025-04-16,m1,45311.87764328549,45311.87764328549,11116.663994878421,56428.54163816391,2661.014636182467,6000.0,6000.0
Q4-2,2025-04-17,m1,45030.12456783824,45030.12456783824,12424.913304417363,57455.037872255605,2608.2589917918212,6000.0,6000.0
Q4-2,2025-04-18,m1,21458.543399583614,21458.543399583614,2082.574153661858,23541.117553245473,1063.0455375738984,6000.0,6000.0
Q4-2,2025-04-19,m1,19992.421055358518,19992.421055358518,4159.676087951192,24152.09714330971,1545.8104449600864,6000.0,6000.0
Q4-2,2025-04-20,m1,43935.73182960569,43935.73182960569,13723.30627069766,57659.038100303354,3037.666445221778,6000.0,6000.0
Q4-2,2025-04-21,m1,43859.65657679197,43859.65657679197,9102.79028136981,52962.44685816178,2256.7403307144073,6000.0,6000.0
Q4-2,2025-04-22,m1,43801.052658788896,43801.052658788896,10373.10295102464,54174.15560981353,2456.1450163531986,6000.0,6000.0
Q4-2,2025-04-23,m1,44614.38202032547,44614.38202032547,9399.656821182316,54014.03884150779,2215.61765086482,6000.0,6000.0
Q4-2,2025-04-24,m1,43696.61155299613,43696.61155299613,10650.485322878427,54347.09687587456,2220.2825264436547,6000.0,6000.0
Q4-2,2025-04-25,m1,20560.426285934213,20560.426285934213,1690.2193770741173,22250.64566300833,803.5665558423343,6000.0,6000.0
Q4-2,2025-04-26,m1,19771.248489155834,19771.248489155834,3712.45227973035,23483.700768886185,1287.470935853377,6000.0,6000.0
Q4-2,2025-04-27,m1,42592.25642307954,42592.25642307954,15355.433600872033,57947.690023951574,3423.0819917524045,6000.0,6000.0
Q4-2,2025-04-28,m1,42929.81635653139,42929.81635653139,19292.16692843446,62221.98328496585,4299.382797396208,6000.0,6000.0
Q4-2,2025-04-29,m1,42548.540305195485,42548.540305195485,10593.747494125895,53142.28779932138,2467.010043925531,6000.0,6000.0
Q4-2,2025-04-30,m1,42049.48305928151,42049.48305928151,8347.467281068768,50396.95034035028,2007.5260210208016,6000.0,6000.0
Q4-2,2025-05-01,m1,42737.61583826547,42737.61583826547,32979.27491220182,75716.89075046728,6920.323270253193,6000.0,6000.0
Q4-2,2025-05-02,m1,21637.762438040292,21637.762438040292,9049.106966929661,30686.869404969955,2747.992482475987,6000.0,6000.0
Q4-2,2025-05-03,m1,20612.28559036087,20612.28559036087,12225.02606440596,32837.31165476683,3277.142375520669,6000.0,6000.0
Q4-2,2025-05-04,m1,44852.5528476735,44852.5528476735,16938.610743519625,61791.16359119312,3752.7249158263994,6000.0,6000.0
Q4-2,2025-05-05,m1,45232.344134706,45232.344134706,23417.879452623456,68650.22358732946,5118.787725631363,6000.0,6000.0
Q4-2,2025-05-06,m1,46116.00436269924,46116.00436269924,19728.073106148768,65844.077468848,4366.5019740791795,6000.0,6000.0
Q4-2,2025-05-07,m1,45715.84607532159,45715.84607532159,22609.504506585683,68325.35058190727,4773.662703418652,6000.0,6000.0
Q4-2,2025-05-08,m1,46465.81891579701,46465.81891579701,14683.469588765924,61149.28850456294,3101.5526875493697,6000.0,6000.0
Q4-2,2025-05-09,m1,22914.224796956012,22914.224796956012,2940.157809973427,25854.382606929437,1002.9308228618901,6000.0,6000.0
Q4-2,2025-05-10,m1,20962.581270581883,20962.581270581883,8618.27921297693,29580.860483558812,2516.890453286181,6000.0,6000.0
Q4-2,2025-05-11,m1,46093.7621122674,46093.7621122674,14477.305478594422,60571.06759086183,3272.759960122774,6000.0,6000.0
Q4-2,2025-05-12,m1,46098.76857502197,46098.76857502197,10671.226224867578,56769.994799889544,2472.893291606233,6000.0,6000.0
Q4-2,2025-05-13,m1,45620.30649705655,45620.30649705655,10165.070768400506,55785.37726545705,2098.044561707062,6000.0,6000.0
Q4-2,2025-05-14,m1,44978.26969855449,44978.26969855449,11889.535978320757,56867.80567687524,2670.8558148964385,6000.0,6000.0
Q4-2,2025-05-15,m1,45125.55586345676,45125.55586345676,13398.109153040254,58523.66501649701,3101.1176489442655,6000.0,6000.0
Q4-2,2025-05-16,m1,22608.00139492248,22608.00139492248,3374.6643472298024,25982.665742152283,1353.3382622998035,6000.0,6000.0
Q4-2,2025-05-17,m1,21023.547967350078,21023.547967350078,7263.249144039935,28286.797111390013,2194.7051899358203,6000.0,6000.0
Q4-2,2025-05-18,m1,44548.18138270382,44548.18138270382,12507.24690285213,57055.42828555595,3060.0664676087013,6000.0,6000.0
Q4-2,2025-05-19,m1,44691.34500472994,44691.34500472994,9708.490934677237,54399.835939407174,2110.293372330164,6000.0,6000.0
Q4-2,2025-05-20,m1,44502.56530641411,44502.56530641411,11328.741511976272,55831.30681839038,2530.287118004265,6000.0,6000.0
Q4-2,2025-05-21,m1,43947.66431918727,43947.66431918727,15849.68263949305,59797.346958680326,3765.1443969265206,6000.0,6000.0
Q4-2,2025-05-22,m1,44078.343220565206,44078.343220565206,10506.145299443142,54584.48852000835,2277.970512547847,6000.0,6000.0
Q4-2,2025-05-23,m1,22050.595515967852,22050.595515967852,2478.928959159957,24529.524475127808,1128.7776083289816,6000.0,6000.0
Q4-2,2025-05-24,m1,20824.028637954307,20824.028637954307,4870.722275451456,25694.750913405762,1615.2543161687804,6000.0,6000.0
Q4-2,2025-05-25,m1,44136.330143250554,44136.330143250554,11926.791879406814,56063.122022657364,2682.3168316466804,6000.0,6000.0
Q4-2,2025-05-26,m1,43811.18437820947,43811.18437820947,13597.692245093347,57408.87662330282,3091.1811648753355,6000.0,6000.0
Q4-2,2025-05-27,m1,44603.69097033143,44603.69097033143,9252.939582437852,53856.63055276928,2191.47519171065,6000.0,6000.0
Q4-2,2025-05-28,m1,44172.39634947236,44172.39634947236,13962.134425185446,58134.530774657804,3100.168896768627,6000.0,6000.0
Q4-2,2025-05-29,m1,44807.05607585443,44807.05607585443,16675.527556207515,61482.58363206194,3493.8140588941424,6000.0,6000.0
Q4-2,2025-05-30,m1,22518.264091041343,22518.264091041343,1288.7758161069164,23807.03990714826,633.0386773552825,6000.0,6000.0
Q4-2,2025-05-31,m1,20664.694641932307,20664.694641932307,5429.007309558692,26093.701951491,1998.7335498344005,6000.0,6000.0
Q4-2,2025-06-01,m1,46896.620111197655,46896.620111197655,65474.72937122724,112371.34948242489,14326.532948691103,6000.0,6000.0
Q4-2,2025-06-02,m1,48295.434507908445,48295.434507908445,63679.62601693387,111975.06052484232,13671.870991386715,6000.0,6000.0
Q4-2,2025-06-03,m1,51722.56249312975,51722.56249312975,39998.35250604131,91720.91499917106,8700.961837144452,6000.0,6000.0
Q4-2,2025-06-04,m1,52229.5069395826,52229.5069395826,36687.19031178033,88916.69725136293,8207.4328144461,6000.0,6000.0
Q4-2,2025-06-05,m1,54451.156953446174,54451.156953446174,36270.16087825624,90721.31783170241,7476.170631144669,6000.0,6000.0
Q4-2,2025-06-06,m1,28401.359016874252,28401.359016874252,9900.741653897883,38302.10067077214,3334.315231329916,6000.0,6000.0
Q4-2,2025-06-07,m1,24601.343192227105,24601.343192227105,20735.473533839147,45336.81672606625,5600.985366117153,6000.0,6000.0
Q4-2,2025-06-08,m1,55240.215243870436,55240.215243870436,23352.27330708974,78592.48855096017,4497.894077216331,6000.0,6000.0
Q4-2,2025-06-09,m1,57970.25320395529,57970.25320395529,23548.540199979572,81518.79340393486,4514.203824525957,6000.0,6000.0
Q4-2,2025-06-10,m1,58393.512959375206,58393.512959375206,19593.467780345993,77986.9807397212,4169.7382152595155,6000.0,6000.0
Q4-2,2025-06-11,m1,59977.21258876147,59977.21258876147,30964.59256014925,90941.80514891072,6016.271721730027,6000.0,6000.0
Q4-2,2025-06-12,m1,62380.53068342207,62380.53068342207,13669.83731727861,76050.36800070068,2759.4332436382992,6000.0,6000.0
Q4-2,2025-06-13,m1,31178.66117177967,31178.66117177967,2501.956412728806,33680.61758450847,1162.1834463183463,6000.0,6000.0
Q4-2,2025-06-14,m1,27077.672300367096,27077.672300367096,10077.374781238654,37155.04708160575,3138.9830230071116,6000.0,6000.0
Q4-2,2025-06-15,m1,56822.58227580045,56822.58227580045,21376.7525413356,78199.33481713606,4011.633333890656,6000.0,6000.0
Q4-2,2025-06-16,m1,59825.982988106145,59825.982988106145,16050.19820404923,75876.18119215537,3459.7035556743385,6000.0,6000.0
Q4-2,2025-06-17,m1,60460.27152143796,60460.27152143796,24016.889035387496,84477.16055682546,4976.638860073923,6000.0,6000.0
Q4-2,2025-06-18,m1,61145.62076884354,61145.62076884354,10414.866496767421,71560.48726561097,2225.6354849991203,6000.0,6000.0
Q4-2,2025-06-19,m1,58658.05192544413,58658.05192544413,15297.200156096462,73955.25208154059,2996.690366748022,6000.0,6000.0
Q4-2,2025-06-20,m1,30692.73746814972,30692.73746814972,1076.5090835232145,31769.246551672935,536.5457371962251,6000.0,6000.0
Q4-2,2025-06-21,m1,26440.091359136648,26440.091359136648,7565.931820660893,34006.02317979754,2363.4776169904253,6000.0,6000.0
Q4-2,2025-06-22,m1,56232.48493083879,56232.48493083879,16918.39650743807,73150.88143827686,3431.110066992174,6000.0,6000.0
Q4-2,2025-06-23,m1,57665.23387998871,57665.23387998871,14109.273100396314,71774.50698038502,2937.5104492444198,6000.0,6000.0
Q4-2,2025-06-24,m1,59173.02614742371,59173.02614742371,34523.501772232295,93696.52791965602,6991.784847285179,6000.0,6000.0
Q4-2,2025-06-25,m1,58204.32229979693,58204.32229979693,14214.018485638235,72418.34078543517,3181.196764317681,6000.0,6000.0
Q4-2,2025-06-26,m1,57069.158041670074,57069.158041670074,13632.29802422878,70701.45606589885,2829.711928701654,6000.0,6000.0
Q4-2,2025-06-27,m1,28221.934385007025,28221.934385007025,2012.374016100494,30234.30840110752,800.9120694867302,6000.0,6000.0
Q4-2,2025-06-28,m1,25852.726495136514,25852.726495136514,5983.1237728363085,31835.850267972823,2090.4332776162873,6000.0,6000.0
Q4-2,2025-06-29,m1,56361.42431124042,56361.42431124042,18368.515889518974,74729.94020075939,3753.568884838177,6000.0,6000.0
Q4-2,2025-06-30,m1,58580.448875308866,58580.448875308866,11938.075249852845,70518.52412516171,2671.9787466087455,6000.0,6000.0
Q4-2,2025-07-01,m1,66178.11961027994,66178.11961027994,43200.206078544936,109378.32568882487,9910.380851338887,6000.0,6000.0
Q4-2,2025-07-02,m1,65482.29173230016,65482.29173230016,38908.72999786791,104391.02173016807,8601.220739979952,6000.0,6000.0
Q4-2,2025-07-03,m1,66714.89516952299,66714.89516952299,44822.48265100036,111537.37782052335,8720.044280410799,6000.0,6000.0
Q4-2,2025-07-04,m1,35605.94355531864,35605.94355531864,20315.332847198348,55921.27640251699,5612.424120814034,6000.0,6000.0
Q4-2,2025-07-05,m1,33155.56042828594,33155.56042828594,20490.41612542772,53645.97655371366,5810.713982266752,6000.0,6000.0
Q4-2,2025-07-06,m1,64823.73628934242,64823.73628934242,59914.73989890126,124738.47618824369,11268.303498180616,6000.0,6000.0
Q4-2,2025-07-07,m1,69942.92264139862,69942.92264139862,16518.28209814486,86461.20473954348,3095.9265836510826,6000.0,6000.0
Q4-2,2025-07-08,m1,72205.0185971323,72205.0185971323,19380.330653875084,91585.34925100737,3561.8800497218062,6000.0,6000.0
Q4-2,2025-07-09,m1,70732.53785372007,70732.53785372007,14184.51327556944,84917.05112928951,2248.253630091341,6000.0,6000.0
Q4-2,2025-07-10,m1,70689.52092766095,70689.52092766095,14667.761505711464,85357.28243337241,2728.406965955239,6000.0,6000.0
Q4-2,2025-07-11,m1,40068.318470627906,40068.318470627906,3480.175136334195,43548.4936069621,1274.136932115196,6000.0,6000.0
