date,method,plan_cost_yuan,contract_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,mean_reserve_kw,soc_start_kwh,soc_end_kwh
2025-03-05,m1,42597.67829182259,42597.67829182259,10732.273349815343,53329.951641637934,2336.287855944146,0.0,1199.9999999999952,1199.999999999997
2025-03-06,m1,41820.36830324948,41820.36830324948,11293.537148814103,53113.905452063584,2637.061366344142,0.0,1199.999999999997,1200.0000000000002
2025-03-07,m1,18402.4904185028,18402.4904185028,2817.5565589355047,21220.046977438302,907.1054068722046,0.0,1200.0000000000002,1200.000000000009
2025-03-08,m1,16813.37316476853,16813.37316476853,3063.4118355780583,19876.78500034659,977.4924775973577,0.0,1200.000000000009,1200.000000000008
2025-03-09,m1,43878.64077908844,43878.64077908844,9014.329658378922,52892.97043746736,2060.212276756361,0.0,1200.000000000008,1200.0000000000043
2025-03-10,m1,41325.6835955414,41325.6835955414,16576.133628821393,57901.81722436279,4260.462116636363,0.0,1200.0000000000043,1200.0000000000032
2025-03-11,m1,41407.198144489535,41407.198144489535,10909.682285829545,52316.880430319085,2593.336782428357,0.0,1200.0000000000032,1199.999999999997
2025-03-12,m1,40227.05640545687,40227.05640545687,12012.98724074721,52240.04364620408,2913.1317649013154,0.0,1199.999999999997,1199.9999999999923
2025-03-13,m1,39656.68194084349,39656.68194084349,24809.073016161674,64465.75495700516,6199.399142911803,0.0,1199.9999999999923,1200.0000000000007
2025-03-14,m1,17738.35610690571,17738.35610690571,2482.190033412693,20220.5461403184,880.3493212707749,0.0,1200.0000000000007,1200.000000000003
2025-03-15,m1,15578.990898572694,15578.990898572694,8998.276828924623,24577.267727497318,2372.0559717505057,0.0,1200.000000000003,1199.999999999998
2025-03-16,m1,41148.174354979266,41148.174354979266,11183.642089876412,52331.81644485568,2669.9775977636928,0.0,1199.999999999998,1200.0000000000014
2025-03-17,m1,40410.2033399164,40410.2033399164,7729.733798666091,48139.93713858249,1789.8780529837427,0.0,1200.0000000000014,1199.9999999999977
2025-03-18,m1,39052.666081681906,39052.666081681906,13297.29632805923,52349.962409741136,2835.9933117741743,0.0,1199.9999999999977,1200.0000000000025
2025-03-19,m1,38535.39006138833,38535.39006138833,10617.06437060424,49152.45443199257,2531.562774992071,0.0,1200.0000000000025,1200.000000000008
2025-03-20,m1,38618.036120639874,38618.036120639874,13086.932059497254,51704.968180137126,3162.24997761911,0.0,1200.000000000008,1200.0000000000055
2025-03-21,m1,17556.966602826644,17556.966602826644,2232.3926798386683,19789.35928266531,813.9048304599271,0.0,1200.0000000000055,1199.9999999999964
2025-03-22,m1,14822.415379904896,14822.415379904896,6854.77696394304,21677.192343847935,1859.6510268812453,0.0,1199.9999999999964,1199.9999999999925
2025-03-23,m1,38014.03927549024,38014.03927549024,12286.129004936738,50300.16828042698,2807.156446726125,0.0,1199.9999999999925,1200.0000000000014
2025-03-24,m1,37123.186699041275,37123.186699041275,11113.86101108868,48237.047710129955,2697.5239035690397,0.0,1200.0000000000014,1199.999999999999
2025-03-25,m1,36923.569328663376,36923.569328663376,16932.96993590053,53856.53926456391,4235.759302008884,0.0,1199.999999999999,1199.9999999999932
2025-03-26,m1,36818.027740910744,36818.027740910744,9522.584826764385,46340.612567675125,2308.5041144547877,0.0,1199.9999999999932,1200.0000000000055
2025-03-27,m1,36395.62854148797,36395.62854148797,14413.612717325144,50809.24125881311,3457.235018503291,0.0,1200.0000000000055,1199.9999999999998
2025-03-28,m1,16796.4009210987,16796.4009210987,3655.6453641880066,20452.046285286706,1045.050749429919,0.0,1199.9999999999998,1200.0000000000045
2025-03-29,m1,14552.480762356194,14552.480762356194,6595.554024992788,21148.03478734898,1701.1237647615962,0.0,1200.0000000000045,1199.9999999999989
2025-03-30,m1,35317.152954348945,35317.152954348945,11419.454576765627,46736.60753111457,2677.552016220632,0.0,1199.9999999999989,1200.0000000000023
2025-03-31,m1,35176.911028615286,35176.911028615286,15976.669738822124,51153.58076743741,3695.9312421654417,0.0,1200.0000000000023,1200.000000000004
2025-04-01,m1,35330.96509421058,35330.96509421058,19506.83720654501,54837.80230075559,5335.011749838853,0.0,1200.000000000004,1200.000000000001
2025-04-02,m1,34105.461253168,34105.461253168,31610.147444673607,65715.60869784161,7653.997411127622,0.0,1200.000000000001,1199.9999999999977
2025-04-03,m1,35772.505639560004,35772.505639560004,12985.141429708747,48757.64706926875,3079.625071584468,0.0,1199.9999999999977,1199.9999999999975
2025-04-04,m1,16044.774461874238,16044.774461874238,3356.7861279697377,19401.560589843975,1088.3524073245997,0.0,1199.9999999999975,1200.0000000000018
2025-04-05,m1,14139.161781402368,14139.161781402368,7551.679066618139,21690.840848020507,2033.5945984336674,0.0,1200.0000000000018,1200.0000000000023
2025-04-06,m1,34339.04234110916,34339.04234110916,10919.338433941979,45258.38077505114,2424.4590629042914,0.0,1200.0000000000023,1200.0000000000125
2025-04-07,m1,34853.7649655708,34853.7649655708,7590.888768324883,42444.653733895684,1878.2822952979163,0.0,1200.0000000000125,1199.9999999999998
2025-04-08,m1,34897.036100718404,34897.036100718404,15882.41877982812,50779.454880546524,3464.836207859837,0.0,1199.9999999999998,1199.9999999999945
2025-04-09,m1,34228.525441992104,34228.525441992104,21167.795777528714,55396.32121952082,5462.5056717112475,0.0,1199.9999999999945,1200.0000000000111
2025-04-10,m1,34629.93068044461,34629.93068044461,14135.96821429411,48765.89889473872,3135.4844302882957,0.0,1200.0000000000111,1199.9999999999995
2025-04-11,m1,15579.93109738446,15579.93109738446,2653.7510887181097,18233.68218610257,1007.3978566280059,0.0,1199.9999999999995,1200.0000000000005
2025-04-12,m1,14024.30164589816,14024.30164589816,5559.481023032141,19583.7826689303,1676.6951166680938,0.0,1200.0000000000005,1200.0000000000016
2025-04-13,m1,33483.563106678375,33483.563106678375,14603.173443319962,48086.736549998335,3216.5451872067742,0.0,1200.0000000000016,1200.0
2025-04-14,m1,33390.192296987574,33390.192296987574,8696.145490404093,42086.33778739167,2118.0156487831073,0.0,1200.0,1200.0000000000075
2025-04-15,m1,33761.23371326756,33761.23371326756,10031.486641785606,43792.72035505317,2160.6888047511275,0.0,1200.0000000000075,1199.9999999999936
2025-04-16,m1,33571.317970097705,33571.317970097705,13459.03294844242,47030.35091854013,3278.2792673917556,0.0,1199.9999999999936,1200.0000000000018
2025-04-17,m1,33231.10233378586,33231.10233378586,13307.967076892543,46539.0694106784,2835.3373507224387,0.0,1200.0000000000018,1200.0000000000002
2025-04-18,m1,14704.4828344189,14704.4828344189,3605.6897875500163,18310.172621968915,1332.618945619933,0.0,1200.0000000000002,1200.0000000000027
2025-04-19,m1,13085.65370572266,13085.65370572266,5898.332691027939,18983.9863967506,1751.0875926163735,0.0,1200.0000000000027,1199.9999999999995
2025-04-20,m1,32159.27147192575,32159.27147192575,14921.389910533584,47080.66138245934,3304.5656980132912,0.0,1199.9999999999995,1199.9999999999952
2025-04-21,m1,32273.987818321442,32273.987818321442,9230.773729507793,41504.761547829235,2276.5909275446074,0.0,1199.9999999999952,1200.00000000001
2025-04-22,m1,31820.10191709416,31820.10191709416,12590.952816139634,44411.054733233796,3008.981455482415,0.0,1200.00000000001,1199.999999999999
2025-04-23,m1,33008.12766464382,33008.12766464382,9521.413977522643,42529.54164216646,2303.7844175847144,0.0,1199.999999999999,1200.0000000000077
2025-04-24,m1,31788.959439146653,31788.959439146653,10680.920231628368,42469.87967077502,2252.3597195750244,0.0,1200.0000000000077,1200.0000000000007
2025-04-25,m1,13861.637893918392,13861.637893918392,2375.2047834587606,16236.842677377153,882.3661857350949,0.0,1200.0000000000007,1200.000000000001
2025-04-26,m1,12731.971287245113,12731.971287245113,5653.1782560135325,18385.149543258645,1569.7247162667072,0.0,1200.000000000001,1200.0000000000066
2025-04-27,m1,30726.722024396353,30726.722024396353,15693.22478938607,46419.94681378242,3503.078487050761,0.0,1200.0000000000066,1200.000000000002
2025-04-28,m1,30578.83823357882,30578.83823357882,34988.42516394358,65567.2633975224,8625.825685105534,0.0,1200.000000000002,1200.0000000000095
2025-04-29,m1,31416.912908569877,31416.912908569877,10851.50222686247,42268.41513543235,2478.7715136777106,0.0,1200.0000000000095,1199.9999999999977
2025-04-30,m1,31394.061322528658,31394.061322528658,9326.30888977964,40720.3702123083,2201.4304916096853,0.0,1199.9999999999977,1200.000000000007
2025-05-01,m1,29365.90167933165,29365.90167933165,33397.37051103155,62763.272190363205,7113.306769736505,0.0,1200.000000000007,1199.9999999999973
2025-05-02,m1,14112.030812799383,14112.030812799383,17874.096271630508,31986.127084429892,4487.934618590733,0.0,1199.9999999999973,1199.999999999999
2025-05-03,m1,13203.08781612653,13203.08781612653,15878.289810621654,29081.377626748184,3699.4489980704825,0.0,1199.999999999999,1200.0000000000023
2025-05-04,m1,31937.65104364022,31937.65104364022,20777.96425868901,52715.61530232923,5077.225595874258,0.0,1200.0000000000023,1199.9999999999993
2025-05-05,m1,32176.219525444634,32176.219525444634,28324.076154149774,60500.295679594405,6309.127432885115,0.0,1199.9999999999993,1200.00000000001
2025-05-06,m1,32650.42457184529,32650.42457184529,22002.048657178257,54652.47322902355,4934.327647436342,0.0,1200.00000000001,1200.0000000000002
2025-05-07,m1,32957.582709986484,32957.582709986484,24604.96360777883,57562.546317765315,5236.291818150661,0.0,1200.0000000000002,1200.0000000000073
2025-05-08,m1,33003.75279597011,33003.75279597011,24443.671660147033,57447.42445611714,5933.295469371087,0.0,1200.0000000000073,1199.9999999999939
2025-05-09,m1,15881.139359906061,15881.139359906061,4297.188262535168,20178.32762244123,1183.803963185062,0.0,1199.9999999999939,1200.000000000003
2025-05-10,m1,13607.653688398892,13607.653688398892,14600.775989621847,28208.429678020737,3524.930808934071,0.0,1200.000000000003,1199.9999999999995
2025-05-11,m1,33076.57114322163,33076.57114322163,22080.816721385145,55157.387864606775,5300.465897149308,0.0,1199.9999999999995,1199.9999999999993
2025-05-12,m1,33487.377226554665,33487.377226554665,14760.510089777406,48247.88731633207,4066.0173880263437,0.0,1199.9999999999993,1200.0000000000066
2025-05-13,m1,33007.751647396864,33007.751647396864,12888.93587184048,45896.68751923734,2936.82569124221,0.0,1200.0000000000066,1200.0000000000082
2025-05-14,m1,32992.92618201891,32992.92618201891,14317.46302025074,47310.38920226965,3363.5868782270636,0.0,1200.0000000000082,1200.0000000000045
2025-05-15,m1,32883.75484288647,32883.75484288647,15001.42834598283,47885.1831888693,3503.7259640489788,0.0,1200.0000000000045,1200.000000000008
2025-05-16,m1,15764.332071702152,15764.332071702152,3993.22445986485,19757.556531567003,1353.3382622998038,0.0,1200.000000000008,1199.9999999999943
2025-05-17,m1,13526.779595156462,13526.779595156462,12282.048574897346,25808.828170053806,3446.8238057826948,0.0,1199.9999999999943,1199.9999999999955
2025-05-18,m1,32719.4731973433,32719.4731973433,16234.9160511578,48954.3892485011,4442.808413538602,0.0,1199.9999999999955,1199.9999999999966
2025-05-19,m1,32656.154981715365,32656.154981715365,10220.005181946191,42876.16016366155,2223.266359945248,0.0,1199.9999999999966,1200.0000000000086
2025-05-20,m1,32452.242555401288,32452.242555401288,19502.700048002436,51954.942603403724,4706.990667815852,0.0,1200.0000000000086,1199.9999999999984
2025-05-21,m1,31768.397238112422,31768.397238112422,20702.97878722942,52471.376025341844,4808.381715754,0.0,1199.9999999999984,1200.0000000000077
