alpha,pv_rmse_kw,pv_mae_kw,safe_pv_coverage,annual_plan_cost_yuan,annual_contract_cost_yuan,annual_down_refund_yuan,annual_up_purchase_cost_yuan,annual_emergency_cost_yuan,annual_total_cost_yuan,annual_emergency_kwh,worst_day_cost_yuan,mean_reserve_kw,terminal_soc_kwh,max_balance_violation_kwh,max_soc_violation_kwh,simultaneous_charge_discharge_count
0.8,188.57477483722957,101.98350898376859,0.800981370592149,12046165.170273218,12553799.04332584,125464.61302234608,633098.4860749688,5319874.089558126,17873673.132883966,1305457.2059869962,125705.21035795275,43.407781871257505,6000.0,1.1368683772161603e-13,1.4551915228366852e-11,0
0.9,228.9824061087385,130.0484535167859,0.8612150698602794,12046165.170273218,12821621.65047799,103032.69841879913,878489.1786235732,4806154.331037385,17627775.981515378,1186291.4999523452,122807.4939820847,92.3536290119761,6000.0,1.1368683772161603e-13,1.8189894035458565e-11,0
0.95,279.5256454291302,165.09019727822127,0.8972471723220227,12047694.148803242,13107796.818538584,87025.71527492067,1147128.3850102632,4379475.958123935,17487272.776662517,1087089.9595334898,120574.60375549138,140.42184755239512,6000.0,1.1368683772161603e-13,1.8189894035458565e-11,0
0.975,331.5696329503611,198.8248088543226,0.915585495675316,12084683.802107722,13356245.03006713,82418.15659327843,1353979.3845526879,4100304.895816942,17456549.925884075,1020747.2228105934,119219.00030636726,185.22553119573354,6000.000000000002,1.1368683772161603e-13,1.8189894035458565e-11,0
0.99,388.73941843571816,235.3180428517272,0.926168496340652,12126860.02918353,13622296.888589863,79013.78158095128,1574450.6409872822,3847154.1857535755,17469451.074343435,959911.0195582306,118129.80044474201,232.36233865044917,6000.0,1.1368683772161603e-13,1.8189894035458565e-11,0
