method,annual_total_cost_yuan,annual_emergency_kwh,emergency_daily_cvar95_kwh,total_cost_cvar95_yuan,worst_day_cost_yuan
m1,16865879.730505772,1163542.6546004852,10442.154439207989,85016.77615790318,116003.75174713232
m2,18187700.354677044,1430430.8018810677,12638.458476258471,92418.54923825752,126907.59761435204
m3_alpha_099,17469451.074343435,959911.0195582308,10341.242207651298,86859.00127348697,118129.800444742
