date,method,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,soc_start_kwh,soc_end_kwh
2025-05-15,m1,34282.48370522329,12404.5414154,46687.02512062329,3143.0023,1200.000000000004,1200.0000000000018
2025-05-16,m1,34340.64624794197,0.0,34340.64624794197,0.0,1200.0000000000018,1199.9999999999977
2025-05-17,m1,13364.127240037806,12867.383871799999,26231.511111837804,3999.8432666666663,1199.9999999999977,1199.999999999996
2025-05-18,m1,14214.095779783025,136666.94580450834,150881.04158429138,32528.54183333333,1199.999999999996,1200.0000000000034
2025-05-19,m1,34177.27380127186,7352.017509399998,41529.29131067186,1551.7733166666667,1200.0000000000034,1199.9999999999943
2025-05-20,m1,31810.726809315,30692.075732358335,62502.802541673336,8297.7709,1199.9999999999943,1200.0000000000005
2025-05-21,m1,35021.63331091574,11757.694351616661,46779.32766253241,2831.817716666666,1200.0000000000005,1200.0000000000032
2025-05-22,m1,33761.362736882096,10668.595013158332,44429.95775004043,2805.399866666666,1200.0000000000032,1200.000000000004
2025-05-23,m1,33224.31807478425,3.1927466666666793,33227.51082145092,1.4933333333333394,1200.000000000004,1199.9999999999973
2025-05-24,m1,13362.722470886849,4112.014960600001,17474.73743148685,1200.7481833333336,1199.9999999999973,1199.9999999999973
2025-05-25,m1,13160.440136212352,120075.6806638,133236.12080001234,30000.50848333333,1199.9999999999973,1200.0000000000045
2025-05-26,m1,32131.930006171675,27516.401311824993,59648.331317996664,7313.700349999999,1200.0000000000045,1200.00000000001
2025-05-27,m1,34901.66210552892,5686.690418783335,40588.35252431226,1492.5734500000008,1200.00000000001,1199.9999999999977
2025-05-28,m1,32288.40403158796,19942.647032225002,52231.05106381296,5870.609283333334,1199.9999999999977,1200.0
2025-05-29,m1,33687.606215754495,18128.90652023333,51816.512735987824,4034.230999999998,1200.0,1200.0000000000014
2025-05-30,m1,35009.11701027092,7.294143333333505,35016.411153604255,3.411666666666747,1200.0000000000014,1199.999999999995
2025-05-31,m1,13519.493298946856,7526.922492,21046.415790946856,2364.0075999999995,1199.999999999995,1200.0000000000036
2025-06-01,m1,13262.408299461436,195779.39056594996,209041.7988654114,47762.27951666667,1200.0000000000036,1200.0000000000032
2025-06-02,m1,46100.004813830215,16604.115796533326,62704.12061036354,3942.522866666666,1200.0000000000032,1199.999999999994
2025-06-03,m1,45205.424212381535,15462.238416533331,60667.66262891487,3908.308216666666,1199.999999999994,1199.9999999999948
2025-06-04,m1,44567.920042586906,15168.728102824994,59736.6481454119,4522.695149999999,1199.9999999999948,1199.9999999999943
2025-06-05,m1,45015.26755288606,17280.92686982499,62296.19442271105,4135.917899999999,1199.9999999999943,1199.999999999997
